symbol,exchange,currency,secType
MNQ,GLOBEX,USD,FUT
MES,GLOBEX,USD,FUT
M6E,GLOBEX,USD,FUT
MGC,NYMEX,USD,FUT
MJY,GLOBEX,USD,FUT
M2K,GLOBEX,USD,FUT
MYM,ECBOT,USD,FUT
ES,GLOBEX,USD,FUT
NQ,GLOBEX,USD,FUT
YM,ECBOT,USD,FUT
NKD,GLOBEX,USD,FUT
RTY,GLOBEX,USD,FUT
CL,NYMEX,USD,FUT
GC,NYMEX,USD,FUT
ZF,ECBOT,USD,FUT
ZN,ECBOT,USD,FUT
ZB,ECBOT,USD,FUT
GE,GLOBEX,USD,FUT
ZS,ECBOT,USD,FUT
EUR,GLOBEX,USD,FUT
JPY,GLOBEX,USD,FUT
DAX,DTB,EUR,FUT
CAC40,MONEP,EUR,FUT
BZ,NYMEX,USD,FUT
EUR,IDEALPRO,USD,CASH
BRR,CMECRYPTO,USD,FUT
